Student_Name,College_Name,Stream,Year_of_Study,AI_Tools_Used,Daily_Usage_Hours,Use_Cases,Trust_in_AI_Tools,Impact_on_Grades,Do_Professors_Allow_Use,Preferred_AI_Tool,Awareness_Level,Willing_to_Pay_for_Access,State,Device_Used,Internet_Access,lsa,Avg_Regional_Speed_Mbps,Subjective_Access_Score,Infrastructure_Efficiency
Pari,Narsee Monjee Institute of Management Studies -[NMIMS ,Commerce,4,"ChatGPT, Gemini, Copilot",4.3,"Assignments, Coding Help",5,0,No,Gemini,4,Yes,Madhya pradesh,Laptop,Medium,Madhya Pradesh,8.966440054086538,2,17.932880108173077
Anika,Institute of Technology and Science ,Pharmacy,3,ChatGPT,3.3,"Exam Prep, Notes",5,-2,Yes,Other,10,Yes,Uttar pradesh,Tablet,Poor,UP West,8.9968359375,1,8.9968359375
Ira,"Presidency College of Education and Technology, Meerut ",Commerce,1,"Gemini, Midjourney",3.8,Learning new topics,1,-1,No,Copilot,6,Yes,Uttar pradesh,Tablet,High,UP West,8.9968359375,3,26.9905078125
Meera,Ram Krishna Dwarika College ,Science,4,Copilot,1.0,"Doubt Solving, Resume Writing",2,-2,Yes,Other,8,No,Bihar,Laptop,Poor,Bihar,29.503159466911764,1,29.503159466911764
Saanvi,"Amity University, Lucknow ",Commerce,2,ChatGPT,3.7,Learning new topics,4,2,No,Copilot,10,Yes,Uttar pradesh,Laptop,Poor,UP West,8.9968359375,1,8.9968359375
Navya,Baba Ghulam Shah Badshah University ,Arts,4,"ChatGPT, Gemini, Copilot",3.7,"MCQ Practice, Projects",2,3,Yes,Other,2,Yes,Jammu,Mobile,Medium,Jammu & Kashmir,12.3797607421875,2,24.759521484375
Aarohi,"Government Post Graduate College, Chamba ",Arts,1,"Gemini, Midjourney",0.6,Learning new topics,2,-1,No,Gemini,7,No,Himachal pradesh,Tablet,High,Himachal Pradesh,8.273878528225806,3,24.821635584677416
Prisha,Calicut University ,Agriculture,1,"Gemini, Midjourney",3.6,Content Writing,2,0,No,Gemini,9,No,Kerala,Tablet,Medium,Kerala,6.3867464539007095,2,12.773492907801419
Ishita,Birla Institute of Technology and Science ,Arts,1,Copilot,1.1,Learning new topics,2,-3,No,Gemini,5,No,Goa,Tablet,Poor,Maharashtra,19.392515373995984,1,19.392515373995984
Rakhi,Modern College of Arts Science and Commerce ,Arts,3,Copilot,0.9,"MCQ Practice, Projects",5,-3,Yes,Other,2,No,Maharashtra,Laptop,High,Maharashtra,19.392515373995984,3,58.17754612198795
Ramya,Baba Ghulam Shah Badshah University ,Arts,1,ChatGPT,2.6,"Assignments, Coding Help",3,3,Yes,Other,9,No,Jammu,Mobile,High,Jammu & Kashmir,12.3797607421875,3,37.1392822265625
Sneha,"Shailesh J. Mehta School of Management, IIT ",Management,3,"Gemini, Midjourney",2.1,"MCQ Practice, Projects",2,0,Yes,ChatGPT,10,No,Maharashtra,Laptop,Poor,Maharashtra,19.392515373995984,1,19.392515373995984
Divya,Career Point University ,Pharmacy,1,"Gemini, Midjourney",3.3,"Exam Prep, Notes",4,-1,No,Other,3,Yes,Himachal pradesh,Tablet,High,Himachal Pradesh,8.273878528225806,3,24.821635584677416
Neha,"Lachoo Memorial College Science and Technology, Jodhpur ",Science,1,"ChatGPT, Gemini, Copilot",3.9,"Doubt Solving, Resume Writing",1,2,Yes,Copilot,3,Yes,Rajasthan,Mobile,Medium,Rajasthan,13.64073799070248,2,27.28147598140496
Pooja,Rajmata Vijayaraje Scindia Krishi Vishwa Vidyalaya ,Agriculture,4,Gemini,4.3,Content Writing,2,0,Yes,Copilot,9,No,Madhya pradesh,Mobile,Medium,Madhya Pradesh,8.966440054086538,2,17.932880108173077
Kavya,Visvesvaraya National Institute of Technology ,Science,1,"ChatGPT, Gemini, Copilot",1.4,Learning new topics,5,-2,Yes,Gemini,6,Yes,Maharashtra,Tablet,Poor,Maharashtra,19.392515373995984,1,19.392515373995984
Aishwarya,"Atmiya University, Rajkot ",Pharmacy,1,"Gemini, Midjourney",2.2,"MCQ Practice, Projects",4,-2,No,ChatGPT,3,Yes,Gujarat,Tablet,High,Gujarat,12.089467075892857,3,36.268401227678574
Shreya,Manav Rachna International Institute of Research and ,Engineering,3,ChatGPT,3.6,"Exam Prep, Notes",5,-2,No,ChatGPT,1,Yes,Haryana,Mobile,Medium,Haryana,15.027559106788333,2,30.055118213576666
Nandini,Acharya Prafulla Chandra College ,Arts,2,Copilot,3.8,"Assignments, Coding Help",2,2,Yes,ChatGPT,8,Yes,West bengal,Mobile,Poor,West Bengal,32.790161506116206,1,32.790161506116206
Aarav,St Francis De Sales College ,Arts,1,"ChatGPT, Copilot",3.7,Learning new topics,4,-2,Yes,Gemini,7,Yes,Maharashtra,Tablet,High,Maharashtra,19.392515373995984,3,58.17754612198795
Vivaan,Mother Teresa Post Graduate and Research Institute of Health Sciences ,Medical,2,ChatGPT,3.0,Learning new topics,4,3,Yes,Other,10,No,Puducherry,Laptop,Medium,Tamil Nadu,8.37137784090909,2,16.74275568181818
Aditya,Fr. Agnel College of Arts and Commerce ,Commerce,2,Copilot,3.2,"Exam Prep, Notes",5,1,No,ChatGPT,10,No,Goa,Mobile,Medium,Maharashtra,19.392515373995984,2,38.78503074799197
Vihaan,"University School of Open Learning, Panjab University ",Management,1,"ChatGPT, Copilot",0.7,Learning new topics,1,1,Yes,Other,8,Yes,Chandigarh,Laptop,Medium,Punjab,14.360778216019417,2,28.721556432038835
Arjun,"Loyola College, Chennai ",Commerce,4,Copilot,2.0,"Exam Prep, Notes",3,-2,Yes,Copilot,8,No,Tamil nadu,Tablet,Medium,Tamil Nadu,8.37137784090909,2,16.74275568181818
Sai,Narsee Monjee Institute of Management Studies -[NMIMS ,Law,3,"ChatGPT, Copilot",1.4,"Assignments, Coding Help",5,3,Yes,ChatGPT,4,Yes,Madhya pradesh,Laptop,Medium,Madhya Pradesh,8.966440054086538,2,17.932880108173077
Reyansh,"R.B.D. Mahila Mahavidyalaya, Bijnor ",Commerce,2,"Gemini, Midjourney",2.7,"Doubt Solving, Resume Writing",3,-2,Yes,ChatGPT,5,Yes,Uttar pradesh,Laptop,High,UP West,8.9968359375,3,26.9905078125
Ayaan,College of Engineering ,Engineering,3,"ChatGPT, Copilot",2.2,"Assignments, Coding Help",3,-1,No,ChatGPT,9,No,Maharashtra,Mobile,High,Maharashtra,19.392515373995984,3,58.17754612198795
Krishna,YBN University ,Pharmacy,3,Copilot,1.9,Content Writing,2,3,No,Gemini,8,Yes,Jharkhand,Mobile,High,Bihar,29.503159466911764,3,88.50947840073529
Ishaan,Manipur University ,Science,3,"ChatGPT, Copilot",2.0,"MCQ Practice, Projects",5,-2,No,Gemini,7,No,Manipur,Tablet,Medium,North East,10.2730712890625,2,20.546142578125
Rudra,"Pacific University, Udaipur ",Medical,4,"ChatGPT, Gemini, Copilot",1.2,Content Writing,2,2,Yes,ChatGPT,1,No,Rajasthan,Tablet,High,Rajasthan,13.64073799070248,3,40.92221397210744
Dhruv,Osmania University College for Women ,Science,2,ChatGPT,1.5,"Exam Prep, Notes",4,2,Yes,ChatGPT,1,No,Telangana,Tablet,High,Andhra Pradesh,13.047758214613971,3,39.14327464384191
Kabir,Spectrum Institute of Pharmaceutical Sciences & Research ,Pharmacy,4,Gemini,3.9,"Exam Prep, Notes",2,1,Yes,Gemini,7,No,Uttar pradesh,Tablet,Medium,UP West,8.9968359375,2,17.993671875
Atharv,"Jaipuria Institute of Management, Jaipur ",Management,1,Copilot,4.4,"Doubt Solving, Resume Writing",5,3,No,Gemini,3,Yes,Rajasthan,Laptop,Poor,Rajasthan,13.64073799070248,1,13.64073799070248
Om,"Ganjam Law College, Berhampur ",Law,3,"Gemini, Midjourney",2.9,"MCQ Practice, Projects",2,-3,No,ChatGPT,9,No,Orissa,Tablet,Medium,Orissa,10.206166294642857,2,20.412332589285715
Anaya,"Jagannath University, Jaipur ",Medical,1,Gemini,4.0,Content Writing,5,2,Yes,ChatGPT,6,Yes,Rajasthan,Tablet,Medium,Rajasthan,13.64073799070248,2,27.28147598140496
Siya,"Netaji Subhash College, Raipur ",Medical,3,"ChatGPT, Gemini, Copilot",1.4,"MCQ Practice, Projects",4,2,No,Gemini,3,Yes,Chhattisgarh,Tablet,High,Madhya Pradesh,8.966440054086538,3,26.899320162259613
Diya,"Govt Zirtiri Residential Science College, Aizawl ",Science,2,"ChatGPT, Copilot",3.2,"Doubt Solving, Resume Writing",2,1,Yes,ChatGPT,3,Yes,Mizoram,Mobile,High,North East,10.2730712890625,3,30.8192138671875
Myra,National Institute of Pharmaceutical Education And Research ,Pharmacy,2,"ChatGPT, Copilot",3.1,Content Writing,5,-3,No,Copilot,6,No,Assam,Laptop,High,Assam,10.154541015625,3,30.463623046875
Aadhya,Suresh Gyan Vihar University ,Engineering,1,Gemini,1.3,"Doubt Solving, Resume Writing",1,3,No,Other,3,Yes,Rajasthan,Laptop,Poor,Rajasthan,13.64073799070248,1,13.64073799070248
Riya,"Amity University, Kolkata ",Hotel-management,2,ChatGPT,1.0,"Assignments, Coding Help",3,2,Yes,Other,4,No,West bengal,Mobile,Poor,West Bengal,32.790161506116206,1,32.790161506116206
Pari,International Institute of Information Technology ,Arts,4,"ChatGPT, Copilot",1.4,Learning new topics,5,2,No,Gemini,10,Yes,Chhattisgarh,Laptop,Poor,Madhya Pradesh,8.966440054086538,1,8.966440054086538
Anika,Chandra Shekhar Azad University of Agriculture and ,Agriculture,1,"Gemini, Midjourney",3.0,"Exam Prep, Notes",2,-3,Yes,Copilot,4,No,Uttar pradesh,Laptop,High,UP West,8.9968359375,3,26.9905078125
Ira,State Institute Of Hotel Management ,Hotel-management,3,Gemini,1.5,"Assignments, Coding Help",5,1,Yes,Other,6,No,Telangana,Mobile,High,Andhra Pradesh,13.047758214613971,3,39.14327464384191
Meera,Aarupadai Veedu Medical College ,Medical,4,ChatGPT,1.1,Learning new topics,2,-2,No,Other,3,Yes,Puducherry,Tablet,Medium,Tamil Nadu,8.37137784090909,2,16.74275568181818
Saanvi,Ram Krishna Dwarika College ,Management,3,"ChatGPT, Gemini, Copilot",3.3,"Doubt Solving, Resume Writing",5,-3,No,Copilot,4,No,Bihar,Mobile,Poor,Bihar,29.503159466911764,1,29.503159466911764
Navya,"KLE University's College of Pharmacy, Belgaum ",Pharmacy,1,"Gemini, Midjourney",2.5,Content Writing,3,-1,Yes,ChatGPT,1,No,Karnataka,Mobile,Poor,Karnataka,22.449497767857142,1,22.449497767857142
Aarohi,Bihar Agricultural University ,Agriculture,4,Copilot,3.1,"Assignments, Coding Help",5,1,Yes,ChatGPT,4,No,Bihar,Mobile,High,Bihar,29.503159466911764,3,88.50947840073529
Prisha,Dr. Ambedkar Institute of Technology ,Engineering,4,ChatGPT,1.3,"MCQ Practice, Projects",1,-1,No,Copilot,1,No,Karnataka,Laptop,Poor,Karnataka,22.449497767857142,1,22.449497767857142
Ishita,"Institute of Hotel Management Shri Shakti- [IHM], ",Hotel-management,3,"ChatGPT, Copilot",3.4,"Doubt Solving, Resume Writing",4,0,No,Other,5,Yes,Telangana,Mobile,High,Andhra Pradesh,13.047758214613971,3,39.14327464384191
Rakhi,North Eastern Regional Institute of Science and Technology ,Science,1,"Gemini, Midjourney",3.5,"Exam Prep, Notes",2,-2,No,Other,1,No,Arunachal pradesh,Mobile,Medium,North East,10.2730712890625,2,20.546142578125
Ramya,IMS Unison University ,Arts,2,"ChatGPT, Gemini, Copilot",4.4,"MCQ Practice, Projects",5,2,No,Gemini,9,No,Uttarakhand,Tablet,High,UP West,8.9968359375,3,26.9905078125
Sneha,"Ramnarain Ruia Autonomous College, Mumbai ",Agriculture,1,ChatGPT,4.2,"Assignments, Coding Help",2,-3,No,Copilot,5,No,Maharashtra,Mobile,Medium,Maharashtra,19.392515373995984,2,38.78503074799197
Divya,St Francis De Sales College ,Arts,3,"ChatGPT, Gemini, Copilot",1.1,Content Writing,3,-1,No,Other,6,No,Maharashtra,Mobile,Medium,Maharashtra,19.392515373995984,2,38.78503074799197
Neha,Dr. Pinnamaneni Siddhartha Institute of Medical Sciences ,Medical,4,ChatGPT,1.8,Learning new topics,4,3,No,Copilot,7,Yes,Andhra pradesh,Laptop,Poor,Andhra Pradesh,13.047758214613971,1,13.047758214613971
Pooja,"SRM University Delhi NCR, Sonepat ",Hotel-management,4,Gemini,2.8,"Doubt Solving, Resume Writing",1,3,No,Copilot,6,Yes,Haryana,Mobile,High,Haryana,15.027559106788333,3,45.082677320365
Kavya,Apex Professional University ,Arts,4,ChatGPT,2.8,"Doubt Solving, Resume Writing",5,0,No,Other,9,No,Arunachal pradesh,Mobile,Poor,North East,10.2730712890625,1,10.2730712890625
Aishwarya,Sri Krishna College of Engineering and Technology ,Engineering,4,Gemini,1.9,Content Writing,4,1,No,Copilot,1,No,Tamil nadu,Laptop,Poor,Tamil Nadu,8.37137784090909,1,8.37137784090909
Shreya,P.K. University ,Pharmacy,3,"ChatGPT, Copilot",3.6,"Doubt Solving, Resume Writing",5,3,No,Copilot,7,Yes,Madhya pradesh,Mobile,Medium,Madhya Pradesh,8.966440054086538,2,17.932880108173077
Nandini,"Graphic Era Hill University Dehradun Campus, School ",Law,3,"Gemini, Midjourney",2.3,Learning new topics,3,1,No,Other,2,Yes,Uttarakhand,Mobile,Medium,UP West,8.9968359375,2,17.993671875
Aarav,Barkatullah University ,Arts,4,"ChatGPT, Copilot",0.5,Learning new topics,4,3,Yes,ChatGPT,3,No,Madhya pradesh,Tablet,Poor,Madhya Pradesh,8.966440054086538,1,8.966440054086538
Vivaan,William Carey University ,Arts,4,ChatGPT,2.1,"MCQ Practice, Projects",1,0,Yes,Other,8,Yes,Meghalaya,Mobile,Medium,North East,10.2730712890625,2,20.546142578125
Aditya,"Central Rice Research Institute, Cuttack ",Agriculture,1,"ChatGPT, Gemini, Copilot",2.6,"Assignments, Coding Help",3,-2,No,Copilot,10,Yes,Orissa,Laptop,Poor,Orissa,10.206166294642857,1,10.206166294642857
Vihaan,Gian Jyoti Institute of Management and Technology ,Arts,1,"Gemini, Midjourney",1.4,"Assignments, Coding Help",3,-3,No,Copilot,5,No,Punjab,Laptop,Medium,Punjab,14.360778216019417,2,28.721556432038835
Arjun,"Maharishi Markandeshwar, Department of Law, Ambala ",Law,1,ChatGPT,1.7,Content Writing,3,-1,No,Other,7,Yes,Haryana,Tablet,High,Haryana,15.027559106788333,3,45.082677320365
Sai,"Bir Tikendrajit University, Imphal ",Hotel-management,1,Gemini,1.6,"Exam Prep, Notes",3,2,Yes,Gemini,7,Yes,Manipur,Mobile,High,North East,10.2730712890625,3,30.8192138671875
Reyansh,"Sathyabama Institute of Science and Technology, Chennai ",Pharmacy,4,ChatGPT,2.4,Content Writing,1,0,Yes,Gemini,4,Yes,Tamil nadu,Tablet,Medium,Tamil Nadu,8.37137784090909,2,16.74275568181818
Ayaan,"Arka Jain University, Jamshedpur ",Law,1,Copilot,1.8,"MCQ Practice, Projects",5,-1,No,ChatGPT,7,Yes,Jharkhand,Mobile,Poor,Bihar,29.503159466911764,1,29.503159466911764
Krishna,Ganpat University ,Arts,3,Copilot,3.4,"Assignments, Coding Help",2,0,Yes,Gemini,5,No,Gujarat,Mobile,High,Gujarat,12.089467075892857,3,36.268401227678574
Ishaan,"GNA University, Phagwara ",Management,3,ChatGPT,2.6,Content Writing,5,3,Yes,Copilot,10,No,Punjab,Mobile,High,Punjab,14.360778216019417,3,43.08233464805825
Rudra,"MAM College of Pharmacy, Narasaraopet ",Pharmacy,3,"Gemini, Midjourney",0.8,Content Writing,5,0,No,Other,1,No,Andhra pradesh,Tablet,Medium,Andhra Pradesh,13.047758214613971,2,26.095516429227942
Dhruv,Madhav University ,Commerce,1,Copilot,1.5,"MCQ Practice, Projects",1,-1,No,ChatGPT,6,Yes,Rajasthan,Tablet,Medium,Rajasthan,13.64073799070248,2,27.28147598140496
Kabir,"SRM Institute of Hotel Management, Chennai ",Hotel-management,3,Copilot,2.3,"Exam Prep, Notes",3,3,No,ChatGPT,10,No,Tamil nadu,Mobile,Poor,Tamil Nadu,8.37137784090909,1,8.37137784090909
Atharv,"Seacom Engineering College, Howrah ",Hotel-management,4,"ChatGPT, Copilot",2.4,"Exam Prep, Notes",4,3,Yes,Other,9,Yes,West bengal,Laptop,Poor,West Bengal,32.790161506116206,1,32.790161506116206
Om,"Government College of Arts, Science and Commerce, North Goa ",Science,3,ChatGPT,3.9,"Doubt Solving, Resume Writing",1,3,Yes,Copilot,10,Yes,Goa,Laptop,Medium,Maharashtra,19.392515373995984,2,38.78503074799197
Anaya,Dr. N.G.P. Arts and Science College ,Agriculture,4,"ChatGPT, Gemini, Copilot",2.6,"Assignments, Coding Help",4,-1,No,ChatGPT,3,Yes,Tamil nadu,Tablet,Poor,Tamil Nadu,8.37137784090909,1,8.37137784090909
Siya,"Jagran School of Law, Dehradun ",Law,1,Gemini,1.8,"Doubt Solving, Resume Writing",4,1,No,ChatGPT,5,Yes,Uttarakhand,Tablet,High,UP West,8.9968359375,3,26.9905078125
Diya,IFMR Graduate School of Business ,Management,4,Copilot,3.1,Learning new topics,5,-2,No,Other,1,No,Andhra pradesh,Tablet,Poor,Andhra Pradesh,13.047758214613971,1,13.047758214613971
Myra,SRM Institute of Technology ,Agriculture,3,ChatGPT,3.7,"Exam Prep, Notes",4,-1,Yes,Copilot,2,Yes,Tamil nadu,Laptop,Poor,Tamil Nadu,8.37137784090909,1,8.37137784090909
Aadhya,Maulana Azad National Institute of Technology ,Engineering,4,"ChatGPT, Gemini, Copilot",2.1,"Exam Prep, Notes",2,3,No,Other,7,Yes,Madhya pradesh,Laptop,Medium,Madhya Pradesh,8.966440054086538,2,17.932880108173077
Riya,"Great Lakes Institute of Management, Chennai ",Management,2,"ChatGPT, Copilot",0.8,"Assignments, Coding Help",3,3,Yes,Gemini,2,Yes,Tamil nadu,Mobile,Medium,Tamil Nadu,8.37137784090909,2,16.74275568181818
Pari,Sri Ramachandra Institute of Higher Education and ,Medical,3,"ChatGPT, Gemini, Copilot",3.2,"Assignments, Coding Help",3,1,Yes,Gemini,7,No,Tamil nadu,Mobile,Medium,Tamil Nadu,8.37137784090909,2,16.74275568181818
Anika,Imperial School of Agri Business ,Agriculture,4,ChatGPT,1.1,"Doubt Solving, Resume Writing",2,2,No,Other,5,Yes,Uttar pradesh,Laptop,Medium,UP West,8.9968359375,2,17.993671875
Ira,Bharathiar University ,Medical,3,"Gemini, Midjourney",3.2,"Exam Prep, Notes",5,-1,Yes,ChatGPT,6,No,Tamil nadu,Mobile,Medium,Tamil Nadu,8.37137784090909,2,16.74275568181818
Meera,Sardar Patel University ,Law,2,"ChatGPT, Gemini, Copilot",3.7,"Doubt Solving, Resume Writing",5,-3,Yes,Copilot,4,Yes,Gujarat,Laptop,High,Gujarat,12.089467075892857,3,36.268401227678574
Saanvi,Indian Institute of Technology ,Science,1,ChatGPT,1.3,"MCQ Practice, Projects",1,3,Yes,Other,3,No,Assam,Tablet,High,Assam,10.154541015625,3,30.463623046875
Navya,Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya ,Agriculture,1,ChatGPT,4.4,"MCQ Practice, Projects",1,1,No,Gemini,9,Yes,Himachal pradesh,Tablet,High,Himachal Pradesh,8.273878528225806,3,24.821635584677416
Aarohi,Women's Christian College ,Commerce,3,"Gemini, Midjourney",3.9,"Assignments, Coding Help",2,-3,Yes,Copilot,10,Yes,Tamil nadu,Mobile,Poor,Tamil Nadu,8.37137784090909,1,8.37137784090909
Prisha,"DAV College, Amritsar ",Arts,4,Copilot,1.2,"Assignments, Coding Help",3,0,No,Copilot,6,Yes,Punjab,Laptop,Medium,Punjab,14.360778216019417,2,28.721556432038835
Ishita,"Bikali College, Goalpara ",Management,2,"Gemini, Midjourney",2.7,"Doubt Solving, Resume Writing",1,0,Yes,Gemini,5,No,Assam,Laptop,High,Assam,10.154541015625,3,30.463623046875
Rakhi,Mahatma Gandhi Institute of Medical Sciences ,Pharmacy,1,"ChatGPT, Gemini, Copilot",3.7,Learning new topics,2,0,Yes,ChatGPT,8,No,Maharashtra,Tablet,Poor,Maharashtra,19.392515373995984,1,19.392515373995984
Ramya,"Don Bosco College, Itanagar ",Commerce,4,"Gemini, Midjourney",3.7,Learning new topics,2,-1,No,Copilot,2,No,Arunachal pradesh,Tablet,Poor,North East,10.2730712890625,1,10.2730712890625
Sneha,CMR Engineering College ,Engineering,4,"ChatGPT, Copilot",4.2,"Exam Prep, Notes",3,0,Yes,Gemini,1,No,Telangana,Mobile,Poor,Andhra Pradesh,13.047758214613971,1,13.047758214613971
Divya,"Starex University, Gurgaon ",Pharmacy,2,"ChatGPT, Copilot",3.5,"Exam Prep, Notes",2,-1,Yes,Gemini,3,No,Haryana,Laptop,High,Haryana,15.027559106788333,3,45.082677320365
Neha,MIT World Peace University ,Law,3,"ChatGPT, Gemini, Copilot",3.5,"Exam Prep, Notes",5,0,No,Other,5,No,Maharashtra,Tablet,Medium,Maharashtra,19.392515373995984,2,38.78503074799197
Pooja,"Acharya Nagarjuna University, Centre For Distance Education ",Hotel-management,1,"ChatGPT, Gemini, Copilot",1.3,"Doubt Solving, Resume Writing",5,3,Yes,Gemini,10,No,Andhra pradesh,Mobile,Poor,Andhra Pradesh,13.047758214613971,1,13.047758214613971
Kavya,Baba Kundan Singh Memorial Law College ,Law,4,"ChatGPT, Gemini, Copilot",3.7,Learning new topics,4,-2,Yes,Other,4,No,Punjab,Tablet,Poor,Punjab,14.360778216019417,1,14.360778216019417
Aishwarya,Indian School of Business Management and Administration ,Hotel-management,3,Gemini,1.3,"MCQ Practice, Projects",3,2,Yes,Gemini,6,Yes,Karnataka,Laptop,Poor,Karnataka,22.449497767857142,1,22.449497767857142
Shreya,Nimra College of Pharmacy ,Pharmacy,4,Copilot,1.9,"Doubt Solving, Resume Writing",2,2,Yes,Copilot,2,Yes,Andhra pradesh,Tablet,Medium,Andhra Pradesh,13.047758214613971,2,26.095516429227942
Nandini,"C. U. Shah University, Wadhwan ",Medical,2,Copilot,2.3,"Assignments, Coding Help",1,-3,Yes,Copilot,10,No,Gujarat,Mobile,Poor,Gujarat,12.089467075892857,1,12.089467075892857
Aarav,Teerthanker Mahaveer Institute of Management and Technology ,Commerce,3,"ChatGPT, Copilot",2.8,"Doubt Solving, Resume Writing",2,2,Yes,ChatGPT,8,Yes,Uttar pradesh,Tablet,Medium,UP West,8.9968359375,2,17.993671875
Vivaan,Institute of Technical Education and Research ,Science,3,"ChatGPT, Copilot",3.2,Content Writing,1,1,Yes,Copilot,7,No,Orissa,Laptop,Medium,Orissa,10.206166294642857,2,20.412332589285715
Aditya,Institute of Technology and Science ,Medical,1,Gemini,3.0,Content Writing,1,0,No,Gemini,4,Yes,Delhi ncr,Laptop,Poor,Delhi,15.297678629557291,1,15.297678629557291
Vihaan,"Amity University, Kolkata ",Commerce,4,ChatGPT,1.4,"Exam Prep, Notes",4,1,Yes,Other,3,Yes,West bengal,Laptop,High,West Bengal,32.790161506116206,3,98.37048451834862
Arjun,National Institute of Technology ,Science,4,Gemini,2.3,"Assignments, Coding Help",1,2,Yes,ChatGPT,3,Yes,Nagaland,Tablet,Medium,North East,10.2730712890625,2,20.546142578125
Sai,Lady Shri Ram College for Women ,Science,3,Copilot,3.2,Learning new topics,3,-2,Yes,Gemini,4,Yes,Delhi ncr,Tablet,Medium,Delhi,15.297678629557291,2,30.595357259114582
Reyansh,Radha Krishan Institute of Technology & Management ,Hotel-management,4,Copilot,3.3,"Doubt Solving, Resume Writing",5,-3,Yes,Other,5,Yes,Madhya pradesh,Laptop,Medium,Madhya Pradesh,8.966440054086538,2,17.932880108173077
Ayaan,Swami Vivekanand National Institute of Rehabilitation Training ,Medical,2,Copilot,1.3,"MCQ Practice, Projects",4,2,Yes,ChatGPT,9,Yes,Orissa,Tablet,High,Orissa,10.206166294642857,3,30.618498883928574
Krishna,"ICFAI University, Gangtok ",Arts,3,ChatGPT,1.0,"Assignments, Coding Help",3,2,Yes,ChatGPT,9,Yes,Sikkim,Tablet,Poor,West Bengal,32.790161506116206,1,32.790161506116206
Ishaan,"Chitkara University, Chitkara Business School ",Arts,4,"ChatGPT, Copilot",2.2,"Exam Prep, Notes",3,-2,No,Other,6,No,Punjab,Laptop,High,Punjab,14.360778216019417,3,43.08233464805825
Rudra,"Nirmala College Of Arts And Science, Chalakkudy, ",Hotel-management,2,ChatGPT,4.2,"Exam Prep, Notes",3,1,Yes,Copilot,7,No,Kerala,Tablet,Poor,Kerala,6.3867464539007095,1,6.3867464539007095
Dhruv,K L University ,Commerce,3,Gemini,2.7,Content Writing,3,2,Yes,Copilot,1,Yes,Telangana,Tablet,Poor,Andhra Pradesh,13.047758214613971,1,13.047758214613971
Kabir,Bhabha University ,Agriculture,2,Gemini,3.2,"Doubt Solving, Resume Writing",5,-3,Yes,Other,4,Yes,Madhya pradesh,Mobile,Poor,Madhya Pradesh,8.966440054086538,1,8.966440054086538
Atharv,"Alliance University, Bangalore ",Law,1,Gemini,2.4,"Exam Prep, Notes",2,2,No,Gemini,8,Yes,Karnataka,Mobile,Medium,Karnataka,22.449497767857142,2,44.898995535714285
Om,"Berhampur University, Berhampur ",Pharmacy,3,ChatGPT,1.3,Content Writing,5,3,No,Copilot,1,No,Orissa,Mobile,Medium,Orissa,10.206166294642857,2,20.412332589285715
Anaya,"Pragjyotish College, Guwahati ",Science,2,Copilot,4.3,"Doubt Solving, Resume Writing",1,-2,Yes,Other,6,No,Assam,Mobile,Medium,Assam,10.154541015625,2,20.30908203125
Siya,"Vanavarayar Institute of Agriculture, Pollachi ",Agriculture,4,ChatGPT,2.5,"MCQ Practice, Projects",2,-1,Yes,Other,2,No,Tamil nadu,Laptop,Poor,Tamil Nadu,8.37137784090909,1,8.37137784090909
Diya,Om Sterling Global University ,Agriculture,2,"ChatGPT, Copilot",3.1,Content Writing,4,0,Yes,ChatGPT,2,No,Haryana,Mobile,High,Haryana,15.027559106788333,3,45.082677320365
Myra,Netaji Subhas University of Technology ,Engineering,2,"ChatGPT, Gemini, Copilot",0.6,"Exam Prep, Notes",1,-2,No,Gemini,2,Yes,Delhi ncr,Tablet,High,Delhi,15.297678629557291,3,45.893035888671875
Aadhya,"Malwanchal University, Indore ",Pharmacy,1,Copilot,1.2,"MCQ Practice, Projects",3,-1,No,Gemini,6,No,Madhya pradesh,Tablet,High,Madhya Pradesh,8.966440054086538,3,26.899320162259613
Riya,Rajiv Gandhi Institute of Petroleum Technology ,Engineering,2,"ChatGPT, Copilot",4.4,"Exam Prep, Notes",1,3,No,Other,1,No,Uttar pradesh,Tablet,Medium,UP West,8.9968359375,2,17.993671875
Pari,"Jaipur National University, Seedling School of Law ",Law,3,Gemini,1.9,Content Writing,2,3,Yes,Other,9,Yes,Rajasthan,Laptop,Medium,Rajasthan,13.64073799070248,2,27.28147598140496
Anika,"Cochin University of Science and Technology, School ",Law,3,ChatGPT,2.6,"MCQ Practice, Projects",2,2,No,Gemini,3,No,Kerala,Mobile,Medium,Kerala,6.3867464539007095,2,12.773492907801419
Ira,"Rungta Group of Institutions Bhilai Campus, Bhilai ",Pharmacy,2,"ChatGPT, Gemini, Copilot",1.3,Content Writing,2,2,Yes,Copilot,7,No,Chhattisgarh,Mobile,High,Madhya Pradesh,8.966440054086538,3,26.899320162259613
Meera,Nalanda College of Engineering ,Engineering,4,"Gemini, Midjourney",2.4,Content Writing,5,3,No,ChatGPT,2,Yes,Bihar,Laptop,Medium,Bihar,29.503159466911764,2,59.00631893382353
Saanvi,University of Rajasthan ,Management,4,"ChatGPT, Copilot",3.8,"Doubt Solving, Resume Writing",3,0,No,Other,5,No,Rajasthan,Tablet,Medium,Rajasthan,13.64073799070248,2,27.28147598140496
